Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted
Recall(-),2.0,3.5,0.7158,TRUE,0.1911,0.7158 ± 0.1911
Recall(+),1.0,2.0,0.8912,FALSE,0.0419,0.8912 ± 0.0419
Recall(+),1.5,2.0,0.9404,FALSE,0.0235,0.9404 ± 0.0235
Recall(+),2.0,2.0,0.9228,FALSE,0.0474,0.9228 ± 0.0474
Recall(+),1.0,2.5,0.8877,FALSE,0.0628,0.8877 ± 0.0628
Recall(+),1.5,2.5,0.9263,FALSE,0.0471,0.9263 ± 0.0471
Recall(+),2.0,2.5,0.9439,FALSE,0.0400,0.9439 ± 0.0400
Recall(+),1.0,3.0,0.9193,FALSE,0.0423,0.9193 ± 0.0423
Recall(+),1.5,3.0,0.9404,FALSE,0.0294,0.9404 ± 0.0294
Recall(+),2.0,3.0,0.9474,FALSE,0.0411,0.9474 ± 0.0411
Recall(+),1.0,3.5,0.9228,FALSE,0.0490,0.9228 ± 0.0490
Recall(+),1.5,3.5,0.9193,FALSE,0.0364,0.9193 ± 0.0364
Recall(+),2.0,3.5,0.9684,FALSE,0.0337,0.9684 ± 0.0337
Recall(+),1.0,2.0,0.8877,TRUE,0.0364,0.8877 ± 0.0364
Recall(+),1.5,2.0,0.9158,TRUE,0.0546,0.9158 ± 0.0546
Recall(+),2.0,2.0,0.9263,TRUE,0.0288,0.9263 ± 0.0288
Recall(+),1.0,2.5,0.8561,TRUE,0.0574,0.8561 ± 0.0574
Recall(+),1.5,2.5,0.9333,TRUE,0.0288,0.9333 ± 0.0288
Recall(+),2.0,2.5,0.9333,TRUE,0.0288,0.9333 ± 0.0288
Recall(+),1.0,3.0,0.9263,TRUE,0.0419,0.9263 ± 0.0419
Recall(+),1.5,3.0,0.9368,TRUE,0.0342,0.9368 ± 0.0342
Recall(+),2.0,3.0,0.9649,TRUE,0.0215,0.9649 ± 0.0215
Recall(+),1.0,3.5,0.9158,TRUE,0.0600,0.9158 ± 0.0600
Recall(+),1.5,3.5,0.9509,TRUE,0.0471,0.9509 ± 0.0471
Recall(+),2.0,3.5,0.9579,TRUE,0.0404,0.9579 ± 0.0404
Sensitivity_(Recall),1.0,2.0,0.8912,FALSE,0.0419,0.8912 ± 0.0419
Sensitivity_(Recall),1.5,2.0,0.9404,FALSE,0.0235,0.9404 ± 0.0235
Sensitivity_(Recall),2.0,2.0,0.9228,FALSE,0.0474,0.9228 ± 0.0474
Sensitivity_(Recall),1.0,2.5,0.8877,FALSE,0.0628,0.8877 ± 0.0628
Sensitivity_(Recall),1.5,2.5,0.9263,FALSE,0.0471,0.9263 ± 0.0471
